Brand, Product_Name, Original_Price, Current_Price, Shipping
press 4.0 ATX Video Card GV-N3060VISION OC-12GD (rev. 2.0) (LHR),$792.75 (2 Offers)–,$792.75 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,$922.65 (8 Offers)–,$922.65 (8 Offers)–,Free Shipping
MSI,MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G,$1205.18 –,$1205.18 –,$49.99 Shipping
N/A,Colorful GeForce RTX 3070 8G V2 LHR Video Card PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for  Desktop Graphics Cards,$1093.00 –,$1093.00 –,$8.04 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TAORUS M-8GD,$1203.43 (2 Offers)–,$1203.43 (2 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,$879.29 (3 Offers)–,$879.29 (3 Offers)–,$49.99 Shipping
MSI,MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR,$1036.11 (5 Offers)–,$1036.11 (5 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC,$1224.02 (2 Offers)–,$1224.02 (2 Offers)–,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3060TI-O8G-V2-GAMING (LHR),$903.59 (5 Offers)–,$903.59 (5 Offers)–,$49.99 Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3070TI-O8G-GAMING,$1217.95 (3 Offers)–,$1217.95 (3 Offers)–,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING,$1355.37 –,$1355.37 –,$49.99 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD,$1128.95 (2 Offers)–,$1128.95 (2 Offers)–,$49.99 Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3070-O8G-V2-GAMING (LHR),$1037.49 (4 Offers)–,$1037.49 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD,$1128.95 –,$1128.95 –,$49.99 Shipping
GIGABYTE,GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),$840.99 (3 Offers)–,$840.99 (3 Offers)–,Free Shipping
